corpus,role,task,n_nominal,classes,license,source,citation,notes
AudioSet-EV v2,train_escala,binary+multiclass,28816,police / ambulance / firetruck vs urban negatives (multi-etiqueta),subset AudioSet (YouTube); uso de investigacion,https://doi.org/10.5281/zenodo.18668076,"Giacomelli & Rinaldi, 2025, 10.5281/zenodo.18668076","Clips ~10 s, 32 kHz, mono. Splits oficiales balanced_train / eval / unbalanced."
sireNNet,piloto_test_limpio,binary+multiclass,1675,"ambulance, police, firetruck, traffic",CC BY 4.0,https://data.mendeley.com/datasets/j4ydzzv4kb/1,"Shah & Singh, 2023, 10.17632/j4ydzzv4kb.1",No entra al fit. Release ya aumentado; 3 s / 44.1 kHz estéreo.
LSSiren,test_dominio_calle,binary,1800,"siren, road_noise",CC BY 4.0,https://doi.org/10.6084/m9.figshare.19291472,"Asif et al., Sci Data 2022, 10.1038/s41597-022-01727-2",No se descarga WAV en esta fase. Karachi; sesgo a ambulancia.
UrbanSound8K,test_distractores,urban_scene / binary_generic_siren,8732,10 clases urbanas incl. siren (~929),CC BY-NC 4.0,https://zenodo.org/records/1203745,"Salamon, Jacoby & Bello, 2014, 10.5281/zenodo.1203745",WAV no en esta fase. Usar folds oficiales y fsID.
